LAMMPS data file via write_data, version 24 Mar 2022, timestep = 500000

16000 atoms
2 atom types
8000 bonds
1 bond types

-31.07415 31.07415 xlo xhi
-31.07415 31.07415 ylo yhi
-31.07415 31.07415 zlo zhi

Masses

1 15.999
2 2.016

Atoms # full

12453 6227 1 -0.38 -30.232392745791714 -26.161143797102056 -29.255470405025175 -1 4 6
451 226 1 -0.38 -26.543391656013124 -28.391783604235474 -28.377960437597377 2 6 3
7354 3677 2 0.38 -10.284052223736547 -8.716998945359318 -27.199384257155163 0 3 -4
2896 1448 2 0.38 -10.699429182026632 -23.438574741695543 -30.736776782914482 11 11 7
5339 2670 1 -0.38 -5.528602816482529 -8.08885543145882 -28.923857979345865 4 -1 -3
452 226 2 0.38 -25.64023361838105 -28.662480852068256 -28.044752341543525 2 6 3
2901 1451 1 -0.38 -23.829187587144197 -29.716414666568138 -24.19317753646254 -3 6 -3
2902 1451 2 0.38 -23.351889398226895 -29.03892945070575 -23.633535222700793 -3 6 -3
6524 3262 2 0.38 -25.97422515064829 -25.36360392472392 -19.06961942325685 2 6 1
12454 6227 2 0.38 -30.233952135015045 -26.64902608234484 -28.382562731741373 -1 4 6
7496 3748 2 0.38 -27.34612064649671 -29.89925095163693 -23.877825582319055 5 -8 5
5590 2795 2 0.38 -26.748304261955184 -24.71986855175129 -26.942406776159324 0 12 6
5589 2795 1 -0.38 -27.71641998441211 -24.596225479346316 -26.724545706631204 0 12 6
13163 6582 1 -0.38 -2.095047086854309 -25.48790465233716 -21.029301086952064 0 -5 3
3173 1587 1 -0.38 -28.35878748035293 -4.6198611652227735 -18.756145522743147 5 -3 0
15757 7879 1 -0.38 -0.4839087567005674 -13.0181385889092 -22.007138872594854 6 9 -3
6414 3207 2 0.38 -30.530488649250863 -30.105294947242072 -29.915657918083358 2 -6 5
1630 815 2 0.38 -4.118618669305981 -24.093365763177307 -30.492647388141403 0 1 6
12449 6225 1 -0.38 -30.198026931892386 -9.381628948073958 -20.69521777590918 6 -2 4
7495 3748 1 -0.38 -27.26944170797616 -29.432301472113465 -24.758778619276168 5 -8 5
9153 4577 1 -0.38 -28.299293992513338 -27.663163371377777 -30.83176324515013 -3 9 4
11019 5510 1 -0.38 -28.150270414081245 -28.28879425910276 -21.858058662161056 0 -9 0
11020 5510 2 0.38 -28.505730075665028 -27.380217643203775 -21.63865988942696 0 -9 0
12006 6003 2 0.38 -21.66733392527826 -25.263707238537787 -30.32344913452775 1 10 -3
14880 7440 2 0.38 -25.985212486164855 -27.849581681477165 -24.785859852796428 4 -3 1
14879 7440 1 -0.38 -25.65727104181666 -27.07009082057342 -24.252148448673633 4 -3 1
12032 6016 2 0.38 -30.827275533723157 -19.825774852280816 -20.423480998521093 -7 1 2
1498 749 2 0.38 -0.034990949636885774 -18.625808415108658 -24.817692898184987 -9 5 -2
5638 2819 2 0.38 -22.227325020323637 -28.139674823509555 -30.54852657745806 -3 4 3
5637 2819 1 -0.38 -22.065736023140396 -29.1225492536642 -30.637107899206573 -3 4 3
3544 1772 2 0.38 -23.469691918996748 -29.147721958539627 -26.45706525389733 -3 3 4
3543 1772 1 -0.38 -24.070132522600428 -29.029549951464446 -27.247954671266523 -3 3 4
4365 2183 1 -0.38 -27.33256696491326 -31.064354493725695 -16.147572926693222 -3 -2 8
2058 1029 2 0.38 -30.538868198137695 -19.308380918872665 -23.93852743412862 2 2 -6
100 50 2 0.38 -14.008689854741828 -3.6464784012284785 -16.402092524773018 -6 -1 7
8736 4368 2 0.38 -21.40889936225181 -22.840250254293736 -30.240546240717947 4 -4 2
15531 7766 1 -0.38 -1.5181491700960774 -1.6670106472572526 -26.478134512844733 -4 0 2
7175 3588 1 -0.38 -21.348564352302663 -29.62721939438249 -26.126952014444466 5 -2 11
